provincias-espanolas
Geo Point;Provincia
40.5710367492,-4.94553505619;Ávila
36.5538729195,-5.7604183752;Cádiz
39.3702562375,-0.800789615081;València
38.0165122783,-3.44169215171;Jaén
40.4950873744,-3.71704619215;Madrid
43.1975220484,-4.03002122038;Cantabria
43.2376797057,-2.85260007926;Bizkaia
43.292357861,-5.99350932547;Asturias
28.3624928216,-14.5509933924;Las Palmas
42.435764706,-8.46106294738;Pontevedra
40.8134495654,-2.62368878371;Guadalajara
39.5751889864,2.91229172079;Illes Balears
42.6672011509,-1.64611414443;Navarra
37.3125169672,-3.26788107732;Granada
42.2748706958,-2.5170441194;La Rioja
43.1257958229,-8.4642836868;A Coruña
40.6612619615,-0.815532258446;Teruel
41.6203648019,-1.06449678144;Zaragoza
38.7097707381,-6.14158521981;Badajoz
42.2030557371,-0.0728865943582;Huesca
38.4786378049,-0.568699068376;Alacant
38.0023681653,-1.48575629332;Murcia
42.8351264353,-2.72060346921;Araba
42.1280117119,2.6735559327;Girona
41.1710254065,-4.05415057783;Segovia
41.7271743961,-5.98053925522;Zamora
42.3718338546,-4.53585717538;Palencia
36.8138591651,-4.72586195603;Málaga
43.011764,-7.44638404764;Lugo
38.8254086192,-1.98037326935;Albacete
39.7118899607,-6.16082194997;Cáceres
38.9256128254,-3.82809764894;Ciudad Real
42.0439686698,1.04798206104;Lleida
41.7310008895,1.98405401772;Barcelona
39.8960496846,-2.19567153274;Cuenca
41.6207742504,-2.58874304739;Soria
39.7937341614,-4.14815562595;Toledo
37.1960852121,-2.3448128003;Almería
37.9926944409,-4.80926161095;Córdoba
42.6199552439,-5.83988102629;León
42.1964503002,-7.59259790937;Ourense
41.0876143957,0.818127863314;Tarragona
40.2413705852,-0.146777086937;Castelló
37.5771794021,-6.82930221031;Huelva
28.3125567678,-17.017856743;Santa Cruz de Tenerife
42.3687127267,-3.58574245567;Burgos
43.1437759117,-2.19417845709;Gipuzcoa
40.8049892162,-6.06541224773;Salamanca
35.2908279949,-2.95053552337;Melilla
37.4356699135,-5.68277303032;Sevilla
41.6341260695,-4.84719141141;Valladolid
35.8934069863,-5.34342403891;Ceuta
